,Date,Mean_Value,Sensor,Long,Lat,GS,R,STN,Vib (m/s),Humidity (%),CO,Temp (degree C),WS (m/s),SR (W/mt2),BP (mmHg),RF (mm)
0,1/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.14971265671094147,0.6009120510566246,-0.3416855524079319,30.21,1.928456090651558,68.20300283286119,743.0,0.03967422096317281
1,10/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.1511662584443479,0.601115368241805,0.898888888888889,30.538333333333334,1.7018518518518517,69.67129629629629,0.0,0.048518518518518516
2,11/2017,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.1485585238195499,0.6014037662020054,-0.27893617021276584,30.653617021276595,2.269468085106383,43.09925531914894,804.4468085106383,0.06106382978723404
3,11/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.14512248280041848,0.6024712643678162,1.0416666666666667,30.698333333333334,2.3377777777777777,60.09722222222222,808.75,0.1075
4,12/2017,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.14924116013532532,0.6014567996900426,-0.2570786516853932,30.1351404494382,2.2340449438202246,50.535,0.0,0.06337078651685393
5,2/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.1511737198737041,0.6000209749140029,0.11525547445255477,29.880547445255477,1.8040145985401461,77.23784671532847,825.1879562043796,0.0009124087591240876
6,3/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.14933301865972415,0.600120415982485,0.46422619047619046,30.418869047619047,1.5950595238095238,79.6577380952381,0.0,0.005238095238095239
7,4/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.15335978699052208,0.6,0.2946153846153846,29.84,1.5753846153846154,46.57692307692308,751.7692307692307,0.0
8,5/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.15047734229191215,0.6,0.055483870967741974,31.71709677419355,1.4890322580645161,139.54580645161292,906.1935483870968,0.0
9,6/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.15225704763670023,0.6021565407772304,0.23142857142857146,29.28952380952381,1.8133333333333332,87.8652380952381,748.1428571428571,0.09380952380952381
10,7/2018,1.0,1.0,55.86116659999999,-4.255036,0.7,0.6,0.5,0.14905999386412067,0.6031264367816092,0.22254545454545457,30.774181818181816,1.841090909090909,87.0349090909091,749.1636363636363,0.136
11,8/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.14833908880024596,0.6015721171672228,0.5909677419354838,30.76967741935484,1.9858064516129033,67.83064516129032,752.9812903225805,0.06838709677419354
12,9/2018,1.0,1.0,55.8611666,-4.255036,0.7,0.6,0.5,0.15247421498965147,0.6002615933412604,1.0806896551724137,30.740344827586206,1.657586206896552,75.62068965517241,756.8448275862069,0.011379310344827587
0,1/2018,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14934649091987584,0.40035057471264374,0.9271911764705882,30.661,1.2350588235294118,86.55061764705883,713.4992647058823,0.01525
1,1/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14914006158473808,0.4006929159533708,1.1142553191489362,30.134680851063827,1.667517730496454,66.35936170212766,743.0,0.030141843971631204
2,1/2020,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.15004051757612694,0.40040610994237635,0.5627851458885942,30.11076923076923,1.564005305039788,73.87183023872679,743.0,0.0176657824933687
3,10/2017,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.15757498333636327,0.4,1.230909090909091,31.12181818181818,1.079090909090909,93.43909090909091,718.4545454545455,0.0
4,10/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14899882115789984,0.4015225799422564,0.4512085308056871,30.77345971563981,1.441350710900474,53.684028436018956,0.0,0.06623222748815165
5,11/2017,2.0,2.0,55.856783899999996,-4.2542592,0.3,0.2,0.5,0.14942825525028391,0.4018968958634455,0.9729491017964071,31.049790419161678,1.2808083832335329,105.20570359281437,715.7743263473054,0.08251497005988025
6,11/2018,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14951248835659448,0.4019157088122605,1.6054166666666667,30.020416666666662,1.8654166666666667,93.95833333333333,810.5,0.08333333333333333
7,11/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.1496094473567342,0.4024652221566479,0.6599511002444988,30.58432762836186,1.9310024449877752,40.36674816625917,808.1662591687042,0.10723716381418091
8,12/2017,2.0,2.0,55.856783899999996,-4.2542592,0.3,0.20000000000000004,0.5,0.14957174191154696,0.40053639846743294,1.0651202749140893,31.152508591065292,1.227594501718213,86.83262886597937,713.7809450171821,0.023333333333333334
9,12/2018,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14925979050321864,0.40384646962233167,1.3144642857142859,30.131964285714286,1.9376785714285716,51.54017857142857,0.0,0.16732142857142857
10,12/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14822887726663014,0.4021671112867635,0.6248137535816618,30.131203438395413,1.892349570200573,49.8323782234957,0.0,0.09426934097421204
11,2/2018,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14889831347751312,0.4063595251554551,0.8469467213114754,29.91575819672131,1.2098975409836064,107.13122950819672,714.2663729508197,0.2766393442622951
12,2/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.15306816534437603,0.4,0.8686046511627907,30.34906976744186,1.524186046511628,63.69767441860465,839.0872093023256,0.0
13,2/2020,2.0,2.0,55.8567839,-4.2542592,0.3,0.20000000000000004,0.5,0.14886800652862403,0.4000000000000001,0.4872463768115941,29.721884057971018,1.4447826086956521,83.214384057971,837.3233695652174,0.0
14,3/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.15057345255622245,0.40001670292960595,0.36611854684512424,30.432676864244744,1.1717017208413003,89.98072657743786,0.0,0.0007265774378585087
15,3/2020,2.0,2.0,55.856783899999996,-4.2542592,0.3,0.2,0.5,0.1499842894570516,0.4,0.4241584158415841,30.817623762376236,1.1463366336633662,75.49752475247524,0.0,0.0
16,4/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.1499633969955338,0.40012590053857455,0.3817849898580121,30.35866125760649,1.134624746450304,105.78701825557809,750.4513184584179,0.005476673427991886
17,4/2020,2.0,2.0,55.85678390000001,-4.2542592,0.3,0.2,0.5,0.1544634599158983,0.4,-0.13222222222222213,30.14777777777778,1.33,19.833333333333332,752.7777777777778,0.0
18,5/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.15010693124043362,0.40001497622524246,0.5072638436482084,30.17869706840391,1.196644951140065,97.28123778501629,920.5985342019544,0.0006514657980456027
19,5/2020,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14954223374287093,0.4,0.3570588235294117,28.459411764705884,1.0635294117647058,176.61764705882354,905.5294117647059,0.0
20,6/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14899829433561165,0.4012157060156053,0.42806569343065687,30.146934306569342,1.5255474452554745,92.33394160583941,767.8394160583941,0.052883211678832115
21,6/2020,2.0,2.0,55.856783899999996,-4.2542592,0.3,0.2,0.5,0.1516822798876434,0.40106125019681943,0.4597945205479452,30.318356164383562,1.5193150684931507,91.71404109589041,773.3287671232877,0.04616438356164383
22,7/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.14947405332558664,0.40242634429911484,0.3497126436781609,30.098793103448276,1.5293390804597702,74.8855172413793,750.5366379310345,0.10554597701149425
23,8/2019,2.0,2.0,55.8567839,-4.2542592,0.3,0.20000000000000004,0.5,0.1523047439542356,0.4004701408694149,0.3332330827067669,30.316165413533835,1.417593984962406,79.09157894736842,752.9787218045113,0.020451127819548873
24,9/2017,2.0,2.0,55.8567839,-4.2542592,0.3,0.2,0.5,0.1536937012088747,0.4,-0.1699999999999999,30.621,0.8230000000000001,116.0,714.45,0.0
0,1/2019,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10912803626751771,0.6006521094753483,0.19323209169054437,30.701684813753584,1.9862578796561605,87.84012034383954,713.9169054441261,0.02836676217765043
1,10/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10782604059142807,0.6006123301985371,-0.01524242424242425,30.58740909090909,1.8355454545454546,128.69771212121213,716.0467121212121,0.02663636363636364
2,11/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10965539464289752,0.6022770047724675,0.016228070175438588,31.10062865497076,1.840701754385965,115.94966374269005,716.3326023391813,0.09904970760233918
3,12/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.11090647271906545,0.6005939001882207,0.08216216216216214,31.173799682034975,1.7934340222575518,89.9102225755167,713.6185691573927,0.025834658187599363
4,2/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10871558015729386,0.605504503684833,0.44126649076517144,30.31833113456464,1.7373482849604223,120.05606200527704,715.1851781002638,0.23944591029023746
5,3/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.11128527523328297,0.6029685570437922,0.35287878787878785,30.14736914600551,1.6391046831955922,126.52906336088154,712.9952892561984,0.12913223140495866
6,4/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.11059902337664293,0.6030979239062639,0.03869767441860464,29.947767441860464,1.470558139534884,154.66074418604651,712.6507596899224,0.1347596899224806
7,5/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10962783587490932,0.6011399259048162,0.3063305785123967,29.726809917355375,1.4623636363636363,147.02890909090908,711.9319504132231,0.049586776859504134
8,6/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.11032259367732838,0.6019355550042724,-0.20146282973621102,29.601103117505996,1.6767146282973622,102.25520383693045,710.5149880095923,0.08419664268585132
9,7/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.11073972266599898,0.6014677661169415,-0.2972173913043478,29.36295652173913,1.6637608695652173,78.55252173913043,709.5673913043478,0.06384782608695652
10,8/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10978852467523482,0.6020086470526205,-0.31187155963302754,29.89475229357798,1.6282752293577982,83.76574311926605,711.4233944954128,0.08737614678899083
11,9/2018,3.0,3.0,55.8612746,-4.2607426,0.9,0.6,0.3,0.10992075653990256,0.6008797802356683,-0.12492138364779874,30.337091194968554,1.4007232704402515,87.86698113207548,713.720393081761,0.03827044025157233
0,1/2019,4.0,4.0,55.85534129999999,-4.2579352,0.3,0.0534,0.4,0.12997002314797018,0.3267,0.3643644334975369,30.428374384236452,1.4213054187192118,90.14224137931035,713.743842364532,0.0
1,1/2020,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.1300670569213413,0.32731139642944485,-0.017118115501519763,30.66082066869301,1.2112613981762919,97.00924012158055,713.7947112462006,0.026595744680851064
2,10/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.13086991408490203,0.3277322014565236,0.37803404580152666,30.722381679389315,1.2250076335877862,109.7984427480916,716.1966870229007,0.04490076335877863
3,11/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.12981997876779938,0.32814632895278745,0.40865022801302936,31.168208469055372,1.3256840390879479,113.4335016286645,715.9017426710097,0.06291530944625408
4,12/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.13033774090112843,0.32706574194105953,0.6925848120300752,31.134586466165413,1.1793082706766915,88.03299248120301,713.5605263157895,0.015909774436090228
5,2/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.12979492519622565,0.33353345467381473,0.3948135508637236,30.212380038387714,1.0666410748560462,123.60523992322456,715.4184261036469,0.2972552783109405
6,2/2020,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.1295417434395751,0.3335415435139573,-0.15534,30.08425,1.3001071428571427,134.24082142857142,714.6205,0.29760714285714285
7,3/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.129432558555764,0.3287280390107976,0.4993190909090909,30.041742424242425,1.039280303030303,123.8559090909091,712.3028787878787,0.08821969696969698
8,4/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.1309963470762914,0.32992204702817574,0.448218648111332,30.015506958250498,0.8912524850894633,149.63685884691847,712.7465208747515,0.14015904572564614
9,5/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.1307079372913257,0.3274788545099775,0.5190109272467903,29.90768901569187,0.8374322396576319,146.65299572039942,711.749514978602,0.033880171184022825
10,6/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.12983618940366673,0.32791848946771246,0.26403052932761084,29.578626609442058,1.0502575107296137,114.94326180257511,709.9363376251788,0.053004291845493566
11,7/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.13074905331524733,0.328129993664585,0.23665999999999998,29.447244094488187,1.0623149606299214,81.86129133858269,709.6681102362205,0.06220472440944882
12,8/2019,4.0,4.0,55.8553413,-4.2579352,0.29999999999999993,0.0534,0.4,0.1310715397131673,0.32949799546593483,0.23663231833910037,29.706643598615916,1.02121107266436,88.224169550173,711.6393944636678,0.1217128027681661
13,9/2019,4.0,4.0,55.8553413,-4.2579352,0.3,0.0534,0.4,0.13066474891758723,0.3274052481511182,0.10717937984496125,30.393701550387593,0.7776162790697675,96.00046511627907,713.7932751937984,0.030678294573643412
0,1/2018,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.1704302694537329,0.45006707789800104,0.6251759530791788,29.220791788856303,1.7140029325513195,133.32514662756597,716.9942375366569,0.0029178885630498533
1,10/2017,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16485316869761837,0.44999999999999984,0.8558064516129031,28.990000000000002,2.2077419354838708,171.8548387096774,712.0912903225807,0.0
2,11/2017,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16990165808055394,0.45001247176998,0.5076832844574779,29.390997067448684,1.6735483870967742,156.51577712609972,715.8617595307918,0.0005425219941348973
3,12/2017,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.1688986290919195,0.4502561219390304,0.687133152173913,29.088668478260868,1.6375679347826086,149.39957880434784,716.7554347826087,0.011141304347826087
4,2/2018,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.1690302487819996,0.4500250930872591,0.4626232394366197,30.10646126760563,1.7926584507042254,168.17473591549296,716.5987323943662,0.0010915492957746479
5,2/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.1704707504780521,0.45329864653472074,-0.18,29.87931952662722,1.0964792899408284,132.0283727810651,715.374526627219,0.14349112426035504
6,3/2018,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.17057052798115294,0.4500972590627762,0.4673846153846154,29.861753846153846,1.818476923076923,173.3,713.8696,0.004230769230769231
7,3/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16965811521784596,0.4528444533160336,0.06547033285094067,30.289392185238786,1.0447322720694645,130.908002894356,712.9341389290882,0.12373371924746744
8,4/2018,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16990382870687853,0.4499999999999999,0.3554744525547445,29.04251094890511,1.9777518248175183,220.37043795620437,711.2543795620438,0.0
9,4/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16958758785902237,0.45147142597418327,0.22824253075571174,29.762688927943763,0.8681019332161687,138.6353602811951,712.6716520210896,0.06400702987697715
10,5/2018,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.17278060135854512,0.4500494022329808,0.2530085959885387,28.64495702005731,2.36621776504298,186.12607449856733,709.6797994269341,0.002148997134670487
11,5/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.17007215398931633,0.4520012315270935,0.1344345238095238,29.74520833333333,0.8451041666666667,147.7671130952381,711.5195982142857,0.08705357142857142
12,6/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.17041502408473558,0.4514263524608351,0.05403474903474905,29.443050193050194,1.0798262548262547,112.30953667953668,710.193861003861,0.062046332046332045
13,7/2020,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.18076666229956181,0.4499999999999999,0.08,30.75,1.3500000000000003,66.5,703.5,0.0
14,9/2017,5.0,5.0,55.856962,-4.2508831,0.3,0.3,0.6,0.16566909302034488,0.4508132726089784,-0.1790566037735849,31.22103773584906,2.0635849056603774,139.94650943396226,711.3521698113208,0.03537735849056604
0,5/2018,6.0,6.0,55.8596991,-4.2510207,0.5,0.5,0.7,0.19042928659430694,0.5502387587870721,0.13188178528347405,28.45352834740651,2.659366706875754,240.74215319662244,709.6950965018094,0.010386007237635705
1,6/2018,6.0,6.0,55.8596991,-4.2510207,0.5,0.5,0.7,0.1895232921931612,0.5516264655652141,-0.002754590984974957,28.998831385642738,3.3474958263772954,181.23095158597664,708.09,0.07075125208681135
2,7/2018,6.0,6.0,55.8596991,-4.2510207,0.5,0.5,0.7,0.19051753143852762,0.5517761489625558,-0.05684380032206119,28.85304347826087,3.5146537842190018,158.06214170692434,708.1571497584541,0.07726247987117552
3,8/2018,6.0,6.0,55.85969909999999,-4.2510207,0.5,0.5,0.7,0.18949852416865445,0.5523175266133551,0.025147710487444606,29.582296898079765,2.9613884785819793,162.15751107828655,709.2560709010339,0.10081240768094535
0,1/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13012867505790945,0.5500325616228713,0.21400849858356943,29.201841359773372,2.157124645892351,141.30453257790367,716.9958640226629,0.00141643059490085
1,10/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.1289602013645496,0.5522599874847677,0.0560171919770774,29.118968481375358,2.0092550143266474,145.26825214899714,712.0298424068768,0.09830945558739256
2,11/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13088861012259545,0.5500327934015702,0.1062247838616715,29.53736311239193,2.061613832853026,146.82047550432276,715.7007636887608,0.0014265129682997117
3,12/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13048806601849036,0.5503104079828218,0.14270604395604397,29.314107142857143,2.0264423076923075,131.5556456043956,717.1932417582418,0.013502747252747254
4,2/2019,7.0,7.0,55.8600017,-4.2565153,0.6999999999999998,0.5,0.4000000000000001,0.1295409550687142,0.5500247016872847,0.12447140381282498,29.98987868284229,2.2373483535528598,159.47487001733103,716.6386308492201,0.0010745233968804159
5,3/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13011764088701366,0.5500278876954966,0.1133770491803279,29.90095081967213,2.2299180327868853,190.44316393442622,714.3060163934426,0.0012131147540983605
6,4/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13031502044533372,0.5512140696569009,0.06930827067669176,29.036571428571428,2.463774436090225,210.5390977443609,711.0680601503759,0.05281203007518797
7,5/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.12992386855126212,0.5512421413602592,0.1262569060773481,28.536988950276243,2.9287292817679558,213.31226519337017,709.3986049723757,0.054033149171270715
8,6/2019,7.0,7.0,55.8600017,-4.2565153,0.6999999999999998,0.5,0.4000000000000001,0.13066222199913516,0.5532327586206897,-0.012539062499999962,28.997460937499998,3.7618359375000003,187.8359375,708.0950390625,0.140625
9,8/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.12917128720235543,0.5504364906154519,-0.13935126582278476,29.690806962025317,3.2720886075949367,159.74606012658228,708.8275316455696,0.0189873417721519
10,9/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.1298445571943038,0.5518102204309101,-0.043881673881673834,30.313881673881674,2.60987012987013,171.65669552669553,711.70443001443,0.07874458874458874
0,1/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18977239847740723,0.5500641619488764,0.32519402985074625,29.093746268656716,1.8564477611940298,151.704223880597,717.9212537313433,0.002791044776119403
1,10/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.1887356587941404,0.5513320907114011,0.214527027027027,29.168391891891893,1.7734324324324324,155.81905405405405,712.4398378378378,0.05794594594594594
2,11/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19006393642020486,0.5500585488505748,0.36009375,29.5448125,1.746484375,148.063796875,715.8827968749999,0.0025468749999999997
3,12/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19082123768843848,0.5500491908111566,0.4216833095577746,29.507788873038514,1.7968901569186877,141.4516119828816,717.2302710413695,0.0021398002853067048
4,2/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18952033727625392,0.5500298953662183,0.34599402092675635,29.829895366218235,1.910493273542601,165.13526158445438,716.9768161434978,0.0013004484304932735
5,3/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18981977520379242,0.5500789789154503,0.24943251533742328,30.002208588957053,1.865659509202454,174.5314417177914,713.8996625766871,0.0034355828220858893
6,4/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18883353403681952,0.5510836332675414,0.224006734006734,28.841430976430978,2.228181818181818,205.1523569023569,710.8731818181818,0.04713804713804714
